rows,cols,vals
1,3,0.0184121331550561
2,5,0.0195043721094707
1,6,0.0203350432823082
4,7,0.0242602549069792
4,8,0.0225167984253355
7,8,0.0185084610836649
9,12,0.0148704592735041
13,14,0.0163493827383321
1,15,0.0244684480790918
3,15,0.0163094460602514
6,15,0.0190529920002569
4,16,0.0258441807500039
7,16,0.0245969552436795
8,16,0.0195404044534959
1,17,0.0306263824218196
3,17,0.0188006335435565
6,17,0.0202534220488592
15,17,0.0205774563888677
11,23,0.0207890091800055
21,23,0.0159494124993422
11,24,0.0156351177882747
21,24,0.027044035936254
23,24,0.0173654328494898
6,25,0.0164796394269043
1,26,0.0168050621198592
3,26,0.0234590561763411
15,26,0.0163094460602514
17,26,0.0165940623288935
15,28,0.0178812422855609
25,28,0.0168973776653327
9,29,0.0192293592307665
22,29,0.0153360704351616
10,30,0.0181489149480125
11,31,0.0200161296139935
4,32,0.0193522406499962
7,32,0.0202920009387252
8,32,0.0182299061943285
13,32,0.0150479030123253
16,32,0.0228773452904367
7,33,0.0155524708462681
8,33,0.0158541529373659
32,33,0.0233199605582022
6,34,0.0157641512114161
25,34,0.0165731022887284
28,34,0.0237059030344641
11,35,0.018833696837233
31,35,0.0188837117416745
13,36,0.0214867109865647
19,36,0.0160514446057959
32,36,0.0188558234869124
33,36,0.0174637797020214
21,37,0.0192633648538947
24,37,0.0175043214281846
4,38,0.0200360999419231
7,38,0.0211337517804761
8,38,0.0199514625266663
14,38,0.0151993066067546
16,38,0.0295198625939772
32,38,0.0261528592269739
33,38,0.0153654151036568
36,38,0.015900950641732
8,39,0.0148214073966112
9,39,0.015682745001342
14,39,0.0223827550658797
3,40,0.0150176583019548
11,40,0.0152846314675268
23,40,0.0259646815959398
24,40,0.0158289476856961
10,41,0.0154792985823331
30,41,0.0160109306929125
11,43,0.022252172446143
21,43,0.0152068699992663
23,43,0.0184230172404075
24,43,0.021859566358159
31,43,0.0171146785579846
40,43,0.0148379725582936
31,44,0.0150273885211598
43,44,0.0151356740238303
2,45,0.0160193848088763
6,46,0.0158097670706342
15,46,0.0212719805823833
28,46,0.0270729064014675
34,46,0.0237859874427901
19,47,0.0162355239886028
47,48,0.0179137134092155
11,49,0.015147274371604
21,49,0.016524262582256
24,49,0.0154235791453635
43,49,0.0181209985958027
44,49,0.0152172904690831
13,51,0.0149067355763632
19,51,0.0274139470600986
36,51,0.0171422778119055
47,51,0.0198359540596211
4,52,0.0296709343468963
7,52,0.0228407275166895
8,52,0.025042050950588
16,52,0.0201717175848091
32,52,0.0182299061943285
38,52,0.0201403532144679
19,53,0.0165090090949361
47,53,0.0238957831194501
48,53,0.0186907141862162
51,53,0.017350759936687
11,54,0.0263505772415735
31,54,0.016828243319566
43,54,0.0236951738891445
49,54,0.0204890009638051
27,55,0.0253887379301227
42,55,0.0150852354255033
19,56,0.0200833113012793
51,56,0.0179258826732625
31,57,0.0148764700379294
42,57,0.0203431680457669
27,58,0.0164310597120828
55,58,0.020098436106732
19,59,0.0240469436930953
32,59,0.0148853801699305
33,59,0.0176111761413405
36,59,0.0182424892726536
51,59,0.0242599725691536
56,59,0.0200833113012793
11,60,0.0171317268682544
20,60,0.0211970484869768
23,60,0.0205969025582322
40,60,0.0165583710165718
43,60,0.0187678786806249
54,60,0.0190065272408012
11,61,0.0176150678536765
20,61,0.0182268705167988
35,61,0.0168406570792657
54,61,0.0188930912940319
60,61,0.0201770513247509
11,62,0.0294135429465363
23,62,0.0257105389218686
24,62,0.0158130444367896
31,62,0.0156738616876225
35,62,0.0151991872139564
40,62,0.0195085769809643
43,62,0.021242071436042
54,62,0.0209090107222321
60,62,0.0220058135852265
61,62,0.0186156035133031
35,63,0.0155868003286161
27,64,0.0220217345631194
42,64,0.0154235142799146
55,64,0.0225317938866198
57,64,0.0170176053003309
4,65,0.0156743001255779
9,65,0.0202309641648965
29,65,0.0172533311436273
52,65,0.0158292587724791
42,66,0.0203431680457669
57,66,0.026898884148468
64,66,0.0160075042902299
1,67,0.0225298597255492
3,67,0.0190225645515874
15,67,0.0157047847271307
17,67,0.0222930490884863
20,67,0.0192266253617088
26,67,0.0152102713453548
11,68,0.0168069314509048
27,68,0.0163378803000354
31,68,0.0284590755569394
35,68,0.0212516556885658
57,68,0.0181988252104233
62,68,0.0149751311752274
64,68,0.0236696567107592
66,68,0.0178079750575589
25,69,0.0158572517975934
28,69,0.0152635848095592
34,69,0.0196913208162426
46,69,0.0153477598937343
15,70,0.0155879453387506
28,70,0.0187711705858491
34,70,0.0186088329235115
46,70,0.0188613581760367
3,71,0.0153547160253761
20,71,0.0223193829426446
23,71,0.0194576043961083
40,71,0.0171635279041708
60,71,0.0273529750187516
61,71,0.0197804969917282
62,71,0.0172241716706847
67,71,0.0176232904250405
20,73,0.0189243212142495
35,73,0.0155882277996863
60,73,0.0174892810896285
61,73,0.026379834045838
63,73,0.0164307551263704
