0.00000,28.00000,81.60882,61.40033,21.58703,44.10215,76.23647,52.801515,55.443665,95.60335
28.00000,0.00000,100.65784,74.20243,49.25444,72.06247,79.12016,76.967526,79.158070,114.76933
81.60882,100.65784,0.00000,31.78050,66.70832,63.12686,54.91812,34.525353,31.400637,14.14214
61.40033,74.20243,31.78050,0.00000,54.14795,62.16912,28.60070,36.796739,35.383612,44.38468
21.58703,49.25444,66.70832,54.14795,0.00000,23.08679,75.96052,34.205263,37.202150,80.06248
44.10215,72.06247,63.12686,62.16912,23.08679,0.00000,88.48164,29.068884,32.015621,74.33034
76.23647,79.12016,54.91812,28.60070,75.96052,88.48164,0.00000,65.115282,63.890531,64.00000
52.80152,76.96753,34.52535,36.79674,34.20526,29.06888,65.11528,0.000000,3.162278,46.81880
55.44367,79.15807,31.40064,35.38361,37.20215,32.01562,63.89053,3.162278,0.000000,43.65776
95.60335,114.76933,14.14214,44.38468,80.06248,74.33034,64.00000,46.818800,43.657760,0.00000
